tail_strategy,group_rmse,overall_rmse
mean_stretch_1.05,12.864581436683618,11.906642257302739
mean_stretch_1.03,12.917848318606096,11.960776598711243
tail_lift_t60_a0.08,12.941231048650476,11.981330165953457
mean_stretch_1.02,12.948421474256467,11.991552495106271
tail_lift_t60_a0.06,12.958371274199678,11.999226267398594
tail_lift_t60_a0.04,12.976776509786202,12.018378511884137
mean_stretch_1.01,12.981595068766671,12.024776071661817
tail_lift_t75_a0.08,12.981790621370106,12.023671835245134
tail_lift_t75_a0.06,12.990084536263543,12.032282121569333
tail_lift_t60_a0.02,12.996438316814158,12.038780904296592
tail_lift_t75_a0.04,12.998776218933376,12.041278676949394
tail_lift_t90_a0.08,13.005780994491275,12.048734770638315
tail_lift_t75_a0.02,13.00786441885025,12.050660636264906
tail_lift_t90_a0.06,13.008523569388206,12.05152183730747
tail_lift_t90_a0.04,13.011365629742178,12.05439962474052
tail_lift_t90_a0.02,13.01430708445126,12.05736806797924
none,13.017347838989778,12.06042710008406
